RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-7ee0730d-95a0-4c44-b5f2-9bb389b11b61,"{{1, 2, 3, 4, 5, 10, 12, 13, 14}, {6, 7, 8, 9, 11, 15, 16}}","{9, 7}",true,None,144.827412,"{-0.455091316295653592367343315684253695054473754943573956011718318264791398435491363341378062530041`78.45240039363472 - 1.501888461086703205958964738001869741271913560139408930670830814802383832334617273697807405517552`78.970939525573*I, -0.455091316295653592367343315684253695054473754943573956011718318264791398435491363341378062530041`78.45240039363472 + 1.501888461086703205958964738001869741271913560139408930670830814802383832334617273697807405517552`78.970939525573*I, -0.450442840862173617344693359986025953850540485251884001508468533802537522986682164655768335297188`78.66220374566062 - 0.499999984214070481260770650695536716912273696570436737021765600316551709280379747429813696629888`78.70753404745864*I, -0.450442840862173617344693359986025953850540485251884001508468533802537522986682164655768335297188`78.66220374566062 + 0.499999984214070481260770650695536716912273696570436737021765600316551709280379747429813696629888`78.70753404745864*I, 0.16850242255525819920914532831022293583003213637575575482407764303889676579334837087912593894735`78.91807149661739, 1.173890201268320486001719367403330920564907382212658205108148030547880538525499342557583428353554`78.7925945687779 - 0.532527409963980838690638043161507935095794257506429364727475918812853834547545747638620395071414`78.44930905775614*I, 1.173890201268320486001719367403330920564907382212658205108148030547880538525499342557583428353554`78.7925945687779 + 0.532527409963980838690638043161507935095794257506429364727475918812853834547545747638620395071414`78.44930905775614*I}"
syt-efdafda3-a958-4e7b-9726-d91a7279b2d9,"{{1, 2, 3, 4, 5, 10, 12, 13, 15}, {6, 7, 8, 9, 11, 14, 16}}","{9, 7}",true,None,90.345858,"{-0.346301590819553292300990950117543221045706205712442977251825649464982202805415905656120088387101`78.35181381460391 - 1.505429556231422468223089818784698019986651732732324581270812991163808383621428867722199260217934`78.99001976633771*I, -0.346301590819553292300990950117543221045706205712442977251825649464982202805415905656120088387101`78.35181381460391 + 1.505429556231422468223089818784698019986651732732324581270812991163808383621428867722199260217934`78.99001976633771*I, -0.34303551764975502086383264193834930085323775503489591780908086652412996145354996992811678223855`78.69439547625758 - 0.49999999927264732446069902451646692945076799115896679970290769602325462943108307465521521733923`78.85802639105398*I, -0.34303551764975502086383264193834930085323775503489591780908086652412996145354996992811678223855`78.69439547625758 + 0.49999999927264732446069902451646692945076799115896679970290769602325462943108307465521521733923`78.85802639105398*I, 0.188232792306391984697245771667242755853572430080918489732699248119667523186381132191608160429433`78.876244956165, 0.548347721760860339256860592597021330514385236087892343821176322993775965183126991231747146139144`78.89307140285851, 1.082380577648024699776969601297315726717039630325866956567937460864780840148423627745118434682725`79.09252683159367}"
syt-9a6e90fb-22d9-41a9-b33e-9a539b4ef4c8,"{{1, 2, 3, 4, 5, 10, 12, 13, 16}, {6, 7, 8, 9, 11, 14, 15}}","{9, 7}",true,None,80.610536,"{-0.321130388613788786496223475620821936648534148863970228596838777998962756644246481102125844895319`78.27485979617026 - 1.505981512999923220993159083380585391685283107864259816872512039380769109594019704016725066278871`78.94599803193333*I, -0.321130388613788786496223475620821936648534148863970228596838777998962756644246481102125844895319`78.27485979617026 + 1.505981512999923220993159083380585391685283107864259816872512039380769109594019704016725066278871`78.94599803193333*I, -0.31960600034647186228799751241005980332175537939779564366858519816873631591225756770963781174161`78.62938452114065 - 0.499999999747663669525031542490595597868620779059153882470792439121128315410684273533254759354748`78.8237396010082*I, -0.31960600034647186228799751241005980332175537939779564366858519816873631591225756770963781174161`78.62938452114065 + 0.499999999747663669525031542490595597868620779059153882470792439121128315410684273533254759354748`78.8237396010082*I, 0.187736258899533621977812219176936116218572682007292317299528946125532605614066426323887936631552`79.01506696101775, 0.663361075586242757852501686650330010544498708803529869865659503104932769749470835649819688321153`78.67527669019651 - 0.499609799821052707054647455631723849566635833499320649383697669558737719165260422943343761369964`78.5521576540589*I, 0.663361075586242757852501686650330010544498708803529869865659503104932769749470835649819688321153`78.67527669019651 + 0.499609799821052707054647455631723849566635833499320649383697669558737719165260422943343761369964`78.5521576540589*I}"
syt-18d41a66-6950-4423-bf27-e855a2a7c867,"{{1, 2, 3, 4, 5, 10, 12, 14, 15}, {6, 7, 8, 9, 11, 13, 16}}","{9, 7}",true,None,80.419102,"{-0.315729704204188617416946874740954744139115146583556310585541975129515297919333873079227890744917`78.30646453218425 - 1.506485000742815459747412667402708830429310431485121471450974819508832377664802409498517125091902`78.98511390145403*I, -0.315729704204188617416946874740954744139115146583556310585541975129515297919333873079227890744917`78.30646453218425 + 1.506485000742815459747412667402708830429310431485121471450974819508832377664802409498517125091902`78.98511390145403*I, -0.312922665852119761903117295661439483850685725880108410877433066401768980927838973403108534949515`78.63203544568299 - 0.499999999745338032042057391935860540384145475352296912350393517676361393542994155585387545682762`78.83556842836464*I, -0.312922665852119761903117295661439483850685725880108410877433066401768980927838973403108534949515`78.63203544568299 + 0.499999999745338032042057391935860540384145475352296912350393517676361393542994155585387545682762`78.83556842836464*I, 0.194002979054644047767666102504947140823626048467586884714896593260934193832299507051716725544159`78.61839336907802, 0.341304222178029661757346898894563673052067339471310086960045646031261837549626996955007972273609`78.67624526009536, 1.116602543586138521534354307037104750665901002252104346251007843770372526312419188957948153571097`79.24944125630986}"
syt-e502661a-4d13-4cc6-9011-24ee4b454a02,"{{1, 2, 3, 4, 5, 10, 12, 14, 16}, {6, 7, 8, 9, 11, 13, 15}}","{9, 7}",true,None,67.55095,"{-0.240095046328739330668347213266452283963470225754160982542631372015061148991442762634816914759919`78.43742629992633 - 0.499999999991120756335866381107434246470606357921423645723644399626685545966614740500621489018104`78.75601310452366*I, -0.240095046328739330668347213266452283963470225754160982542631372015061148991442762634816914759919`78.43742629992633 + 0.499999999991120756335866381107434246470606357921423645723644399626685545966614740500621489018104`78.75601310452366*I, -0.2396807230553115288754830045241793815923186774583355046384371767759526181385753460401554980196`78.14811594553147 - 1.509021096632900203329030336403066049288771489740632810794337341739635289067692491331826224284474`78.94717815075894*I, -0.2396807230553115288754830045241793815923186774583355046384371767759526181385753460401554980196`78.14811594553147 + 1.509021096632900203329030336403066049288771489740632810794337341739635289067692491331826224284474`78.94717815075894*I, 0.20506095054215126148731956025066809530968136207066613540127781365499259069295825428536933083991`78.41877210397169, 0.359043575017178883690383604901720409103433985903807486905158884622492103510279180096187723420221`78.1155024766085, 0.600346987420908866360776629575282632081667872268878727055700399304542840056798782968387771298906`78.60467196194827}"
syt-be14465d-efd5-4d83-bb7d-67c6218989b1,"{{1, 2, 3, 4, 5, 10, 12, 15, 16}, {6, 7, 8, 9, 11, 13, 14}}","{9, 7}",true,None,116.353131,"{-0.905093552539967709042998483325898882719214526339684175084937760922348953871333618134437496527159`77.76536024897122 - 1.934948453151518637651659667341469095447982818898666404206540036845698930232532099951048283387303`78.09533617771888*I, -0.905093552539967709042998483325898882719214526339684175084937760922348953871333618134437496527159`77.76536024897122 + 1.934948453151518637651659667341469095447982818898666404206540036845698930232532099951048283387303`78.09533617771888*I, -0.823792274161587700487450055744623587177730712346832884542752467470396644388626911846637148565825`77.78932532998017 - 0.99983408775028394668043280897610065885027585151236612797009319375293267972301304972841962430163`77.87343555456755*I, -0.823792274161587700487450055744623587177730712346832884542752467470396644388626911846637148565825`77.78932532998017 + 0.99983408775028394668043280897610065885027585151236612797009319375293267972301304972841962430163`77.87343555456755*I, -0.8235366204017172082410856288664319431251001609419147118610595147519347729042582415360925258113`78.44316815622307, 0.172637865296426004117868181684114133191328405040033762495863147542992935268770205983188613870655`78.76904492833961, 0.307747276118951902301457678080165487440522340696790068620576823994433034155409095515053202126614`78.89457631592147}"
syt-c7008a2c-4b56-4145-8295-f72f6eaa7bdf,"{{1, 2, 3, 4, 5, 10, 13, 14, 15}, {6, 7, 8, 9, 11, 12, 16}}","{9, 7}",true,None,402.415525,"{-1.00874495918109066961301292724671172598422783355352784016411468572286137478247432873617372816174`78.02809242058783 - 1.923868760440590807607738202385431155860401620329838134163795451162198844525534927961698277409793`78.30848648574397*I, -1.00874495918109066961301292724671172598422783355352784016411468572286137478247432873617372816174`78.02809242058783 + 1.923868760440590807607738202385431155860401620329838134163795451162198844525534927961698277409793`78.30848648574397*I, -0.950996630506525755018341510053610297618288682917869764225117355534588665478440968919263240156145`77.98821096764473 - 0.999506653187552107061992011314641944636053147217387287846405976013972519144938655017532730319697`78.00981767879388*I, -0.950996630506525755018341510053610297618288682917869764225117355534588665478440968919263240156145`77.98821096764473 + 0.999506653187552107061992011314641944636053147217387287846405976013972519144938655017532730319697`78.00981767879388*I, -0.950806367684541329092782297244685090837379084480796232344521891981711944509953754651309944871974`78.59486968453547, 0.148652428347970581246281222568974695834059858287446269791097874879945328680538109562301079044458`79.11225144633958, 1.418051539586665980324241463104207347004952600933020171331888099616666696351246240399882802463285`79.53576397614732}"
syt-b662d67c-d8c0-4111-acab-798dbf9a30d2,"{{1, 2, 3, 4, 5, 10, 13, 14, 16}, {6, 7, 8, 9, 11, 12, 15}}","{9, 7}",true,None,185.568681,"{-0.95483308439961663278623924956078289003183948277498335130945106725394942292310683337012070507493`77.89339533691268 - 1.931205766005558260475744388900681095916092716688686544914300322904785278955848403816937769459975`78.1992964277005*I, -0.95483308439961663278623924956078289003183948277498335130945106725394942292310683337012070507493`77.89339533691268 + 1.931205766005558260475744388900681095916092716688686544914300322904785278955848403816937769459975`78.1992964277005*I, -0.883530708399584399761465144127993085282272536030505999556892771530938071245233373451279543649374`77.94383044331722 - 0.99970931286659445780630239472506023902653237744739660169045023240925388191863970709349920992019`77.99748253250311*I, -0.883530708399584399761465144127993085282272536030505999556892771530938071245233373451279543649374`77.94383044331722 + 0.99970931286659445780630239472506023902653237744739660169045023240925388191863970709349920992019`77.99748253250311*I, -0.883285761456389101447967600744935417982497305825442119062796254417219547339661086349422856690906`78.68888443381051, 0.159653670181455117231173937183533593146460759267753850187810857003312858316433154921082636104769`79.06761022768275, 0.762819989064388618687162963443866688309872156434291970607673074983681677359908345071140718034745`79.39737455573633}"
syt-cb1cd058-6d5a-4e01-a206-c8841aadfb57,"{{1, 2, 3, 4, 5, 10, 13, 15, 16}, {6, 7, 8, 9, 11, 12, 14}}","{9, 7}",true,None,427.263143,"{-0.925633415043371081800284765756839138142253029147877843151991671448472481056344067644817376320946`77.81052277933497 - 1.933857432644467111322943883970192484653142583416520467062317008923836266481713763663490164526612`78.13050820920657*I, -0.925633415043371081800284765756839138142253029147877843151991671448472481056344067644817376320946`77.81052277933497 + 1.933857432644467111322943883970192484653142583416520467062317008923836266481713763663490164526612`78.13050820920657*I, -0.848088973748443486575405101324782101679551500379571203212285835791610266107281081115022073447894`77.84622433504722 - 0.999788816873483522815878040347231353588750142150084766441775922875110246170923437479578869889026`77.917691192838*I, -0.848088973748443486575405101324782101679551500379571203212285835791610266107281081115022073447894`77.84622433504722 + 0.999788816873483522815878040347231353588750142150084766441775922875110246170923437479578869889026`77.917691192838*I, -0.847835550119715412861375487117736380565644328414944586057521887915997498077025039621551833421889`78.63197874006639, 0.167171223169272436885708947562037460061655653119076020146034305990097198088565166008710318012947`78.97151032272019, 0.482170749952945662300437120208870062924544755835141658640042596406065794315710171132520414946624`79.18533569626517}"
syt-137e3a8d-a1bd-4e20-bf9c-eb2d788bc1bd,"{{1, 2, 3, 4, 5, 11, 12, 13, 14}, {6, 7, 8, 9, 10, 15, 16}}","{9, 7}",true,None,115.295288,"{-1.146670526187572689924497385600097262534086831132707296634870604765515914318336165678408217928289`78.24080849820474 - 1.916623554472367269913693811003580038812452430988456510851639169576744570851544453531501385642922`78.46390666971624*I, -1.146670526187572689924497385600097262534086831132707296634870604765515914318336165678408217928289`78.24080849820474 + 1.916623554472367269913693811003580038812452430988456510851639169576744570851544453531501385642922`78.46390666971624*I, -1.115329772836028081161136119817325929896224060802460447653735135763530201031185551485099703327251`78.69531544330563, -1.115113654230676426683858375264315700433914893904505411716481707478015201746748026092198520238535`78.16322935275562 - 0.999056708896589614937768177284280587436207474054844867020133417336695106239156766190668609163266`78.11550035964278*I, -1.115113654230676426683858375264315700433914893904505411716481707478015201746748026092198520238535`78.16322935275562 + 0.999056708896589614937768177284280587436207474054844867020133417336695106239156766190668609163266`78.11550035964278*I, 1.482272301878705273171831855994119902077261826727505432178219880125296216580676967513156589830449`78.98828779309964 - 0.560437996751265250522709471821532295937315003334933159083553738295627270947813657890818506004573`78.56588737179865*I, 1.482272301878705273171831855994119902077261826727505432178219880125296216580676967513156589830449`78.98828779309964 + 0.560437996751265250522709471821532295937315003334933159083553738295627270947813657890818506004573`78.56588737179865*I}"
