RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-b834fce3-88d7-44f2-a60e-6f104a057e58,"{{1, 2, 4, 6}, {3, 5}, {7}}","{4, 2, 1}",true,None,10.277427,"{{-0.245134283318624961411316788908546383374862430886779425574384610477858824257573442009197977382961`78.7677256564074, 0.033639608810729897346181720136870920270654294280922748920395328095004514208189496782112572112356`78.02631350434186, 0.896101168893401311966808828542022268557508612680075426653989282382854310049383945227085405270605`79.12383797069874}, {0.67690233584104486652677223901264369487762451171875`80.}}"
syt-5eaad4e0-f925-4e36-94ed-a41f1a75701a,"{{1, 2, 4, 6}, {3, 7}, {5}}","{4, 2, 1}",true,None,9.734943,"{{-0.343535494624040710043581868198444792713074654611681594653639927372375960730465816044834506379992`78.9482472695058, 0.184847017614061780885925044660244495522511755185945844420457713354576534493720673047122639400515`78.32435010514408, 0.658110210510814628095526545696411813406960184887161531483182214017799426236745142997711866979476`78.95938231614771}, {-0.2422137070837031835868202733763610012829303741455078125`80.}}"
syt-529984cd-bc1b-4e1b-8e94-564ff369ae73,"{{1, 2, 4, 7}, {3, 5}, {6}}","{4, 2, 1}",true,None,9.975783,"{{-0.231366726874857601815312547749636388016712670349579140028591869098953784690464202725671292425013`78.51373634641807, 0.041460805914002072096113821586786315131072128842186797243582769951232148692058753191055288048906`77.50503145285342, 0.324065068641093096809898439097870288694985786868720467785009099147721635998405449534616004376107`78.589603278053}, {0.37493887808634596137125072345952503383159637451171875`80.}}"
syt-67281863-aa16-490b-be29-23a89e48543e,"{{1, 2, 4, 7}, {3, 6}, {5}}","{4, 2, 1}",true,None,11.801855,"{{-0.303244397848011610376187500285735842851539503791816332727771473039512758287337897947697371585301`79.35241985699282, 0.096678084315590359932520077631194854660699790348056603863885736519756379143668948973848685792651`78.47250939239093 - 0.499999952272139182588853427096470692093471503326213716965912283093658912214440040542043062783084`79.18615131903205*I, 0.096678084315590359932520077631194854660699790348056603863885736519756379143668948973848685792651`78.47250939239093 + 0.499999952272139182588853427096470692093471503326213716965912283093658912214440040542043062783084`79.18615131903205*I}, {-0.16993696346485143156002095565781928598880767822265625`80.}}"
syt-e3806a8a-06f8-4266-b1c3-a3c8260147ea,"{{1, 2, 5, 6}, {3, 4}, {7}}","{4, 2, 1}",true,None,9.142957,"{{-0.703254551333861839602310960361606222357863713627951331166157156895979467540921269105449422639459`78.72115234466058 - 0.518623386108876506779353130515143647580118506050239451090052539322356273693142875499290939442382`78.58889188950943*I, -0.703254551333861839602310960361606222357863713627951331166157156895979467540921269105449422639459`78.72115234466058 + 0.518623386108876506779353130515143647580118506050239451090052539322356273693142875499290939442382`78.58889188950943*I, 0.934543604497653682263043937416142345898378947031293287332314313791958935081842538210898845278918`79.33567845525627}, {0.38278845944832384784461964954971335828304290771484375`80.}}"
syt-7c78c41a-ffb7-47cb-ab49-f00e2f1a920d,"{{1, 2, 5, 6}, {3, 7}, {4}}","{4, 2, 1}",true,None,9.925459,"{{-0.340558350505601383958339958151388440711885453571738846739114685371381867196980227592302798673307`78.68769322403597, -0.061742271577201344768864826367456125585229388385293829447263014213462193777175527340285184914681`77.91699716168205, 0.692148197369633117690315534019473592739881031532227988686377699584844060974155754932587983587988`79.15793304356028}, {-0.325848608128256389537824588842340745031833648681640625`80.}}"
syt-604ecf28-da86-4234-848e-f4ef93380d6f,"{{1, 2, 5, 7}, {3, 4}, {6}}","{4, 2, 1}",true,None,9.640601,"{{-0.673905192389965514354097069252668685860130610416156779932934976330388876003111288958585181985091`78.95423608850214 - 0.514426127068346201716551777608563272458642309467893746732326453326310327229387744689810778311535`78.83696030366777*I, -0.673905192389965514354097069252668685860130610416156779932934976330388876003111288958585181985091`78.95423608850214 + 0.514426127068346201716551777608563272458642309467893746732326453326310327229387744689810778311535`78.83696030366777*I, 0.347810384779931028708176972729882827757413804366345822986445902128212341004051812776219760503419`79.39151805682154}, {0}}"
syt-4622e8b9-8c94-4052-a261-891999ae3e15,"{{1, 2, 5, 7}, {3, 6}, {4}}","{4, 2, 1}",true,None,11.283117,"{{-0.324065068641093096809898439097870288694985786868720467785009099147721635998405449534616004376107`78.589603278053, -0.041460805914002072096113821586786315131072128842186797243582769951232148692058753191055288048906`77.6555464506854, 0.231366726874857601815312547749636388016712670349579140028591869098953784690464202725671292425013`78.36322134858608}, {-0.37493887808634596137125072345952503383159637451171875`80.}}"
syt-a6d71925-24be-4021-ae10-18a68d019d81,"{{1, 2, 6, 7}, {3, 4}, {5}}","{4, 2, 1}",true,None,9.89711,"{{-0.645812832591859786996183669445482036520255379373424864185155363297071876737373212711896953762731`78.70312738737165 - 0.510774521578897015338260380457190579158551086522115028063467773379836662925703341161792523047261`78.60124994266067*I, -0.645812832591859786996183669445482036520255379373424864185155363297071876737373212711896953762731`78.70312738737165 + 0.510774521578897015338260380457190579158551086522115028063467773379836662925703341161792523047261`78.60124994266067*I, 0.068644446703076831240449132823179150843049630511986447120310726594143753474746425423793907525461`78.6357436237469}, {-0.1772556009790650921598142986113089136779308319091796875`80.}}"
syt-f47d64c5-a17f-484a-9357-0ec0efeaf334,"{{1, 2, 6, 7}, {3, 5}, {4}}","{4, 2, 1}",true,None,9.494229,"{{-0.598821849919323449403562407160638521816591868374420102533342811527911016084121048243211318351436`78.49913868867526 - 0.505786745005992902381706087517659265178177293527336566058422695329376468850508973438279591388653`78.42580849383873*I, -0.598821849919323449403562407160638521816591868374420102533342811527911016084121048243211318351436`78.49913868867526 + 0.505786745005992902381706087517659265178177293527336566058422695329376468850508973438279591388653`78.42580849383873*I, -0.183036666435440651652856529598658126927891473822448857433314376944177967831757903513577363297128`78.79636878652416}, {-0.328817071320350817753563887890777550637722015380859375`80.}}"
