Index,SYT,FlipSYT,FlipFoundQ,RootCount,FlipRootCount,Distance,SameRootsQ,Reason
1439,"{{1, 3, 5, 8, 13}, {2, 4, 10, 14}, {6, 7, 15}, {9, 11}, {12}}","{{1, 4, 7, 10, 14}, {2, 5, 9, 12}, {3, 6, 11}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
1449,"{{1, 2, 6, 8, 10}, {3, 5, 7, 14}, {4, 9, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 12}, {2, 7, 9, 11}, {6, 13, 15}, {8, 14}, {10}}",False,,,,False,FlipSYTNotFound
1515,"{{1, 2, 4, 13, 15}, {3, 5, 10, 14}, {6, 8, 12}, {7, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 8, 9}, {10, 13, 15}, {11, 14}, {12}}",False,,,,False,FlipSYTNotFound
1629,"{{1, 2, 4, 11, 13}, {3, 5, 6, 14}, {7, 9, 10}, {8, 15}, {12}}","{{1, 4, 6, 7, 8}, {2, 5, 11, 13}, {3, 9, 15}, {10, 14}, {12}}",False,,,,False,FlipSYTNotFound
1720,"{{1, 4, 5, 9, 12}, {2, 6, 7, 10}, {3, 11, 15}, {8, 14}, {13}}","{{1, 2, 3, 10, 13}, {4, 5, 8, 14}, {6, 9, 12}, {7, 11}, {15}}",False,,,,False,FlipSYTNotFound
1757,"{{1, 3, 4, 8, 10}, {2, 5, 9, 14}, {6, 7, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 14}, {2, 7, 9, 10}, {6, 11, 13}, {8, 15}, {12}}",False,,,,False,FlipSYTNotFound
1837,"{{1, 4, 8, 11, 13}, {2, 6, 9, 15}, {3, 10, 14}, {5, 12}, {7}}","{{1, 2, 4, 9, 11}, {3, 5, 6, 10}, {7, 12, 13}, {8, 14}, {15}}",False,,,,False,FlipSYTNotFound
1884,"{{1, 2, 4, 9, 12}, {3, 5, 8, 10}, {6, 11, 15}, {7, 14}, {13}}","{{1, 2, 3, 9, 13}, {4, 5, 8, 15}, {6, 10, 14}, {7, 11}, {12}}",False,,,,False,FlipSYTNotFound
1949,"{{1, 4, 5, 7, 11}, {2, 6, 8, 9}, {3, 12, 14}, {10, 15}, {13}}","{{1, 3, 6, 10, 13}, {2, 4, 8, 14}, {5, 7, 12}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
1992,"{{1, 3, 7, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {8, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 8, 12}, {9, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
2003,"{{1, 3, 8, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {7, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 9, 12}, {8, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
2028,"{{1, 3, 5, 7, 15}, {2, 6, 11, 12}, {4, 10, 13}, {8, 14}, {9}}","{{1, 2, 5, 6, 7}, {3, 8, 12, 14}, {4, 10, 13}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
2236,"{{1, 3, 6, 13, 15}, {2, 5, 10, 14}, {4, 7, 12}, {8, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 8, 12}, {9, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
2261,"{{1, 3, 6, 8, 10}, {2, 5, 9, 11}, {4, 12, 14}, {7, 15}, {13}}","{{1, 3, 9, 11, 12}, {2, 4, 10, 14}, {5, 7, 13}, {6, 8}, {15}}",False,,,,False,FlipSYTNotFound
2334,"{{1, 3, 6, 8, 9}, {2, 5, 10, 14}, {4, 7, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 12}, {2, 8, 9, 11}, {6, 10, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
2392,"{{1, 3, 7, 8, 9}, {2, 4, 10, 14}, {5, 6, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 11}, {2, 8, 9, 10}, {6, 12, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
2442,"{{1, 3, 9, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {7, 11}, {8}}","{{1, 2, 4, 5, 8}, {3, 6, 9, 12}, {7, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
2548,"{{1, 5, 8, 13, 15}, {2, 6, 9, 14}, {3, 10, 12}, {4, 11}, {7}}","{{1, 2, 4, 5, 9}, {3, 6, 10, 12}, {7, 11, 13}, {8, 14}, {15}}",False,,,,False,FlipSYTNotFound
2709,"{{1, 4, 8, 11, 13}, {2, 5, 9, 15}, {3, 7, 14}, {6, 12}, {10}}","{{1, 2, 4, 6, 10}, {3, 5, 7, 9}, {8, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
3010,"{{1, 4, 6, 13, 15}, {2, 5, 10, 14}, {3, 7, 12}, {8, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 8, 13}, {9, 11, 14}, {10, 15}, {12}}",False,,,,False,FlipSYTNotFound
3073,"{{1, 2, 4, 11, 13}, {3, 5, 6, 14}, {7, 8, 9}, {10, 15}, {12}}","{{1, 4, 6, 8, 9}, {2, 5, 11, 13}, {3, 7, 15}, {10, 14}, {12}}",False,,,,False,FlipSYTNotFound
3089,"{{1, 3, 4, 8, 9}, {2, 5, 10, 14}, {6, 7, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 14}, {2, 8, 9, 10}, {6, 11, 13}, {7, 15}, {12}}",False,,,,False,FlipSYTNotFound
3170,"{{1, 2, 4, 11, 13}, {3, 5, 6, 14}, {7, 8, 10}, {9, 15}, {12}}","{{1, 4, 6, 7, 9}, {2, 5, 11, 13}, {3, 8, 15}, {10, 14}, {12}}",False,,,,False,FlipSYTNotFound
3207,"{{1, 3, 8, 13, 15}, {2, 5, 9, 14}, {4, 6, 12}, {7, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 9, 12}, {8, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
3274,"{{1, 2, 7, 13, 15}, {3, 5, 8, 14}, {4, 10, 12}, {6, 11}, {9}}","{{1, 2, 4, 5, 7}, {3, 6, 10, 12}, {8, 11, 15}, {9, 13}, {14}}",False,,,,False,FlipSYTNotFound
3387,"{{1, 2, 5, 9, 13}, {3, 6, 8, 14}, {4, 7, 15}, {10, 11}, {12}}","{{1, 4, 6, 9, 12}, {2, 5, 8, 15}, {3, 7, 13}, {10, 14}, {11}}",False,,,,False,FlipSYTNotFound
3421,"{{1, 3, 6, 13, 15}, {2, 5, 9, 14}, {4, 7, 12}, {8, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 8, 12}, {9, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
3470,"{{1, 3, 7, 13, 15}, {2, 6, 9, 14}, {4, 8, 12}, {5, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 8, 11}, {9, 10, 12}, {13, 14}, {15}}",False,,,,False,FlipSYTNotFound
3510,"{{1, 2, 5, 9, 12}, {3, 4, 8, 10}, {6, 11, 15}, {7, 14}, {13}}","{{1, 2, 3, 9, 13}, {4, 5, 8, 15}, {6, 10, 12}, {7, 11}, {14}}",False,,,,False,FlipSYTNotFound
3570,"{{1, 2, 5, 7, 13}, {3, 4, 6, 14}, {8, 10, 15}, {9, 11}, {12}}","{{1, 4, 7, 12, 13}, {2, 5, 8, 15}, {3, 6, 10}, {9, 14}, {11}}",False,,,,False,FlipSYTNotFound
3635,"{{1, 5, 8, 11, 13}, {2, 6, 9, 15}, {3, 7, 14}, {4, 12}, {10}}","{{1, 2, 4, 6, 12}, {3, 5, 7, 9}, {8, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
3671,"{{1, 4, 6, 13, 15}, {2, 5, 9, 14}, {3, 7, 12}, {8, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 8, 13}, {9, 11, 14}, {10, 15}, {12}}",False,,,,False,FlipSYTNotFound
3739,"{{1, 4, 5, 9, 13}, {2, 6, 8, 14}, {3, 7, 15}, {10, 11}, {12}}","{{1, 4, 6, 9, 13}, {2, 5, 8, 14}, {3, 7, 12}, {10, 15}, {11}}",False,,,,False,FlipSYTNotFound
3849,"{{1, 4, 5, 8, 12}, {2, 6, 7, 9}, {3, 11, 15}, {10, 14}, {13}}","{{1, 2, 3, 10, 13}, {4, 5, 6, 14}, {7, 9, 12}, {8, 11}, {15}}",False,,,,False,FlipSYTNotFound
4067,"{{1, 2, 4, 13, 15}, {3, 5, 9, 14}, {6, 8, 12}, {7, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 8, 9}, {10, 13, 15}, {11, 14}, {12}}",False,,,,False,FlipSYTNotFound
4084,"{{1, 2, 3, 7, 9}, {4, 6, 8, 14}, {5, 10, 13}, {11, 12}, {15}}","{{1, 3, 4, 5, 15}, {2, 8, 10, 11}, {6, 12, 14}, {7, 13}, {9}}",False,,,,False,FlipSYTNotFound
4133,"{{1, 4, 5, 11, 12}, {2, 6, 9, 14}, {3, 8, 10}, {7, 13}, {15}}","{{1, 3, 6, 8, 9}, {2, 5, 10, 13}, {4, 12, 14}, {7, 15}, {11}}",False,,,,False,FlipSYTNotFound
4329,"{{1, 3, 5, 8, 13}, {2, 4, 9, 14}, {6, 7, 15}, {10, 11}, {12}}","{{1, 4, 6, 10, 14}, {2, 5, 9, 12}, {3, 7, 11}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
4333,"{{1, 3, 9, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {7, 8}, {11}}","{{1, 2, 4, 5, 9}, {3, 6, 8, 12}, {7, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
4415,"{{1, 3, 7, 11, 12}, {2, 6, 8, 14}, {4, 9, 10}, {5, 13}, {15}}","{{1, 3, 6, 7, 11}, {2, 5, 10, 12}, {4, 13, 14}, {8, 15}, {9}}",False,,,,False,FlipSYTNotFound
4420,"{{1, 3, 6, 7, 15}, {2, 5, 11, 12}, {4, 8, 13}, {9, 14}, {10}}","{{1, 2, 5, 6, 12}, {3, 7, 11, 14}, {4, 8, 15}, {9, 10}, {13}}",False,,,,False,FlipSYTNotFound
4447,"{{1, 6, 9, 10, 13}, {2, 7, 11, 15}, {3, 8, 14}, {4, 12}, {5}}","{{1, 2, 4, 8, 11}, {3, 5, 7, 12}, {6, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
4571,"{{1, 3, 9, 13, 15}, {2, 5, 10, 14}, {4, 7, 12}, {6, 8}, {11}}","{{1, 2, 4, 5, 10}, {3, 6, 8, 12}, {7, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
4647,"{{1, 2, 4, 9, 12}, {3, 5, 8, 10}, {6, 7, 15}, {11, 14}, {13}}","{{1, 2, 3, 9, 10}, {4, 5, 8, 15}, {6, 11, 13}, {7, 14}, {12}}",False,,,,False,FlipSYTNotFound
4652,"{{1, 3, 5, 7, 15}, {2, 6, 11, 12}, {4, 9, 13}, {8, 14}, {10}}","{{1, 2, 5, 6, 8}, {3, 7, 12, 14}, {4, 10, 13}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
